GF,W,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,MaxPd,MaxV2d,MaxV3d,MaxM2d,MaxM3d,MaxTd,MaxPc,MaxV2c,MaxV3c,MaxM2c,MaxM3c,MaxTc,U1,U2,U3,R1,R2,R3
1,213387.1599,8673.342981,15479.66474,18111.47887,22703.89785,19654.2947,19430.24925,22196.82198,21372.84483,22084.09585,17220.50722,16078.39367,10381.56799,4277792.719,1777582.608,218457.2109,71950299.34,587788695.2,2266345.278,4721719.96,32340.09878,81704.22332,74146582.66,16083193.22,18459191.55,0.004556781,0.000963201,-0.003302354,1.91E-06,6.05E-06,6.05E-06
2,212086.8178,9865.751818,16242.68883,16018.21209,22413.80242,19615.45591,19282.01378,21154.50126,21698.23025,20278.04343,17798.18456,16298.9836,11420.94987,4271605.014,1775025.233,217664.4824,71643393.93,587027577.6,2256783.138,4718646.754,31673.71438,80189.18599,72771686.29,15784637.5,18063269.83,0.004472285,0.000929125,-0.003302355,1.85E-06,5.92E-06,5.92E-06
2,211201.1504,8662.364423,16372.26738,18841.92154,20615.1249,20343.47195,20771.77741,19061.10172,20785.34292,22071.72088,15446.82848,16120.94735,12108.2815,4269499.778,1772228.631,216812.04,71048818.72,586545758.4,2246729.895,4717483.886,31492.57805,79408.09922,72062850.04,15584488.62,17690601.96,0.004428722,0.000921678,-0.003302355,1.82E-06,5.80E-06,5.80E-06
2,220038.2405,9908.661206,19137.71292,17669.88147,22939.35012,22538.93695,21769.20637,19054.29832,20620.695,18692.28123,17755.7815,18176.26017,11775.1753,4276510.181,1780273.564,219045.5984,72278176.93,588385253.4,2276320.996,4725071.528,32319.85793,83709.04608,75965959.32,16401020.15,18908005.18,0.004668593,0.000941753,-0.003302354,1.89E-06,6.20E-06,6.20E-06
1,221422.3488,12088.53623,17914.35353,19049.66072,22655.30386,21247.24174,21834.21999,22408.75047,21723.78731,19406.12348,15408.83549,16313.20638,11372.32964,4281209.188,1780555.881,218942.6352,72215396.22,588651114,2279904.879,4728618.33,33232.2224,85206.87337,77325237.59,16626423.18,19095530.93,0.004752129,0.00097445,-0.003302354,1.88E-06,6.26E-06,6.26E-06
2,211522.1823,11081.60153,15182.35707,15094.28149,22185.08081,18709.73365,19637.16204,19894.96793,21789.58194,22241.05704,17695.82299,16857.91529,11152.62047,4269820.873,1774063.012,217132.8729,71343718.24,586802540.8,2255157.823,4718116.775,31333.60585,80804.18926,73329801.76,15693769.92,18060855.1,0.004506584,0.000927096,-0.003302355,1.84E-06,5.92E-06,5.92E-06
2,213193.3115,9160.172636,18817.96073,15044.83007,21750.43507,20883.48697,20944.13045,20662.77548,22340.54156,20759.85845,17979.0635,16552.34704,8297.709585,4274714.09,1777437.702,218202.4733,71777243.48,587701719.2,2266454.627,4723228.154,32451.78948,82801.98137,75142798.1,16145539.4,18506362.63,0.004618005,0.000927533,-0.003302355,1.85E-06,6.07E-06,6.07E-06
1,212603.2962,7832.569026,18472.43569,16301.08338,19243.85443,21149.89873,19626.67529,21565.43772,20517.68814,20525.55571,17919.67575,18833.84856,10614.57377,4269038.588,1774698.683,217342.6191,71416330.45,586894675.7,2256390.264,4719498.106,31647.13066,81173.12249,73664608.66,15812721.31,18120193.27,0.00452716,0.000910712,-0.003302356,1.80E-06,5.94E-06,5.94E-06
1,219552.4467,10571.59235,16918.72543,16120.32724,22650.29186,21613.09016,21846.18237,19595.7477,22321.12179,21709.18179,17998.06558,18075.98984,10132.13057,4279828.215,1778316.745,218685.9972,71953485.34,588120068.8,2269935.405,4725094.71,32936.60869,83194.59538,75499095.31,16267754.42,18630596.44,0.004639901,0.000953002,-0.003302354,1.89E-06,6.11E-06,6.11E-06
1,212296.3465,9113.155687,18507.65929,17277.20861,20217.43996,20958.23482,20066.63036,20832.25097,20625.00359,22138.28767,17172.70763,16596.32433,8791.443632,4271751.373,1773633.083,217211.8882,71236396.45,586950262.2,2253258.086,4719678.492,31892.05751,80806.4783,73331879.06,15800468.64,17971761.24,0.004506712,0.000920701,-0.003302355,1.82E-06,5.89E-06,5.89E-06
