Time,Latitude,Longitude,Depth/Km,Magnitude,magError
06:44.6,42.816,13.1483,10.5,2.2,0.473677069
08:03.8,42.845,13.1123,8.4,2.7,0.47421981
12:20.5,42.6875,13.1873,9.5,2.1,0.474762551
18:52.2,42.7437,13.2648,9.6,2.1,0.475305292
36:06.9,42.6887,13.166,10.2,3.1,0.475848033
37:53.5,42.6517,13.2262,10.5,2.7,0.476390773
39:31.1,42.7035,13.1647,10.3,2.1,0.476933514
42:30.1,42.7757,13.1663,10,3.1,0.477476255
43:51.4,42.7712,13.1808,9.5,2.5,0.478018996
53:58.2,42.8002,13.2622,8.5,2.3,0.478561737
58:42.0,42.7898,13.1903,8.9,2.8,0.479104478
00:49.6,42.7407,13.2562,9.9,2,0.479647218
10:18.8,42.6502,13.2383,10.6,2.8,0.480189959
22:49.2,42.646,13.2422,12.2,2.5,0.4807327
26:02.6,42.8012,13.2107,8.8,2.8,0.481275441
30:00.9,42.605,13.2357,12.4,2,0.481818182
31:00.7,42.6257,13.309,9,2,0.482360923
32:06.4,42.8255,13.1512,9.9,2,0.482903664
38:00.1,42.7897,13.2163,7.8,2.7,0.483446404
44:00.4,42.7968,13.2402,6.3,2.3,0.483989145
56:20.6,42.749,13.1752,10.3,2.4,0.484531886
02:57.7,42.6858,13.2227,10,2.3,0.485074627
