latitude,longitude,depth,mag,nst,gap,dmin,rms,horizontalError,depthError,magError,magNst
62.745,-150.4741,8.7,1.1,,,,0.59,,0.3,,
63.247,-151.5993,3.2,1.4,,,,0.86,,0.4,,
34.0021667,-116.8678333,15.02,1.11,53,41,0.05975,0.15,0.16,0.38,0.094,30
44.7673333,-110.9701667,5.71,0.82,13,137,0.02686,0.13,0.47,0.91,0.203,2
62.4556,-149.7724,9,1.6,,,,0.35,,0.2,,
35.7768333,-117.5685,7.68,1.08,10,140,0.04543,0.19,0.5,0.99,0.109,8
63.2854,-150.3873,109.5,1.4,,,,0.3,,1.1,,
33.774,-116.9308333,13.48,0.67,31,150,0.08689,0.14,0.26,0.44,0.1,9
40.227,-124.1815,11.05,1.51,18,156,0.02458,0.11,0.29,0.3,0.171,9
66.0653,-150.4175,0,1.2,,,,0.8,,0.5,,
36.6998333,-121.3823333,-0.43,0.92,17,57,0.02978,0.17,0.32,1.17,0.271,13
-0.8165,98.4678,19.486,4.4,24,114,2.287,0.85,9.72,5.057,0.149,13
18.0645,-66.23866667,18.48,2.86,16,139,0.09529,0.17,0.45,0.33,0.225325059,7
33.589,-116.6138333,13.58,0.59,29,60,0.01747,0.1,0.15,0.25,0.152,10
33.5885,-116.614,14,0.9,34,60,0.01786,0.14,0.18,0.33,0.129,21
33.5913333,-116.6135,13.24,0.52,25,60,0.01612,0.1,0.2,0.41,0.182,9
58.17566667,-155.3396667,0.1,-0.23,6,172,,0.03,0.22,1.56,0.226457963,6
18.171,-67.50083333,5.33,3.27,19,144,0.2133,0.36,0.66,1.19,0.024131528,7
-19.7886,-69.3074,108.112,4.2,23,86,0.16,0.67,5.23,3.337,0.176,9
61.834,-149.454,43.3,1.6,,,,0.3,,1,,
44.7573333,-110.9301667,2.14,0.11,4,148,0.05418,0.05,0.31,6.99,0.375,3
44.7721667,-110.9541667,7.68,0.91,12,114,0.0392,0.17,0.42,0.84,0.066,3
58.25033333,-155.1171667,3.72,0.05,9,85,,0.15,0.29,0.75,0.157643936,9
37.3029,-117.5707,3.1,1.6,7,229.69,0.092,0.1299,,11.3,1.11,5
